unit_id,name,name_kana,brand_id,member_idol_ids,color,unit_type,alias,verified,notes
u_houkago,放課後クライマックスガールズ,ほうかごくらいまっくすがーるず,sc,sc_kaho;sc_chiyoko;sc_juri;sc_rinze;sc_natsuha,#FA8333,permanent,放クラ,true,
u_alstroemeria,アルストロメリア,あるすとろめりあ,sc,sc_amana;sc_tenka;sc_chiyuki,#FF699E,permanent,アルスト,true,
u_straylight,ストレイライト,すとれいらいと,sc,sc_asahi;sc_fuyuko;sc_mei,#AF011C,permanent,ストレイ,true,
u_noctchill,ノクチル,のくちる,sc,sc_toru;sc_madoka;sc_koito;sc_hinana,#384D98,permanent,,true,
u_seas,シーズ,しーず,sc,sc_nichika;sc_mikoto,#008E74,permanent,SHHis,true,
u_cometik,コメティック,こめてぃっく,sc,sc_luca;sc_hana;sc_haruki,#333333,permanent,,true,
u_millionstars,ミリオンスターズ,みりおんすたーず,ml,,,brand,MILLIONSTARS;ミリオン全体,false,メンバーは公演ごとに異なるため未設定
u_cleasky,Cleasky,くりあすかい,ml,ml_tsubasa;ml_miya;ml_elena,,permanent,,true,
u_765allstars,765PRO ALLSTARS,ななろくごぷろおーるすたーず,765as,765as_haruka;765as_chihaya;765as_miki;765as_yukiho;765as_yayoi;765as_makoto;765as_iori;765as_ami;765as_mami;765as_azusa;765as_hibiki;765as_takane;765as_ritsuko,,brand,765AS;オールスターズ;765as_allstars;765as_allstars+,true,
u_projectfairy,プロジェクト・フェアリー,ぷろじぇくとふぇありー,961,765as_miki;765as_takane;765as_hibiki,,event,,true,961プロ名義
u_jupiter,Jupiter,じゅぴたー,sm,sm_touma;sm_hokuto;sm_shota,#90EE90,permanent,ジュピター,true,元961プロ
u_dearlystars,ディアリースターズ,でぃありーすたーず,876,876_ai;876_eri;876_ryo,,brand,876STARS,true,
u_valiv,vα-liv,ゔいあらいゔ,valiv,valiv_manaka;valiv_cosmo;valiv_letora,,brand,ヴイアラ;#ヴイアラ,true,
u_shakunetsu,灼熱少女,しゃくねつしょうじょ,ml,ml_mirai;ml_tamaki;ml_miya,,permanent,,true,
u_hanabidan,閃光☆HANABI団,せんこうはなびだん,ml,ml_nao;ml_sayoko;ml_noriko,,permanent,,true,
u_milkyway,ミルキーウェイ,みるきーうぇい,ml,765as_miki;ml_chizuru;ml_subaru;ml_tomoka;ml_sayoko,,permanent,,true,
u_chronolexica,クロノレキシカ,くろのれきしか,ml,ml_mizuki;ml_subaru;ml_roco,,permanent,,true,
u_chicaamor,chicAAmor,しかあもーる,ml,ml_chizuru;ml_fuka;ml_julia,,permanent,,true,
u_newgenerations,new generations,にゅーじぇねれーしょんず,cg,cg_uzuki;cg_rin;cg_mio,,permanent,ニュージェネ,true,
u_lipps,LiPPS,りっぷす,cg,cg_syuko;cg_mika;cg_shiki2;cg_kanade;cg_nao,,permanent,,true,
u_dramaticstars,DRAMATIC STARS,どらまてぃっくすたーず,sm,sm_teru;sm_kaoru;sm_tsubasa,#FFA500,permanent,ドラスタ,true,
u_altessimo,Altessimo,あるてしっも,sm,sm_kei;sm_rei,#FFFFCC,permanent,,true,
u_beit,Beit,ばいと,sm,sm_kyoji;sm_pierre;sm_minori,#00CCFF,permanent,,true,
u_w,W,だぶりゅー,sm,sm_yusuke;sm_kyosuke,#FFFF00,permanent,,true,
u_frame,FRAME,ふれーむ,sm,sm_hideo;sm_ryu;sm_seiji,#008000,permanent,,true,
u_sai,彩,さい,sm,sm_kirio;sm_shoma;sm_kuro,#6600CC,permanent,,true,
u_highjoker,High×Joker,はいじょーかー,sm,sm_hayato;sm_shun;sm_natsuki;sm_haruna;sm_shiki,#FF0000,permanent,,true,
u_shinsoku,神速一魂,しんそくいっこん,sm,sm_suzaku;sm_genbu,#F5F5F5,permanent,,true,
u_cafeparade,Café Parade,かふぇぱれーど,sm,sm_yukihiro;sm_soichiro;sm_aslan;sm_mao;sm_saki,#CC66CC,permanent,,true,
u_mofumofuen,もふもふえん,もふもふえん,sm,sm_naoto;sm_shiro;sm_kanon,#FFCCFF,permanent,,true,
u_sem,S.E.M,せむ,sm,sm_michio;sm_rui;sm_jiro,#FF00CC,permanent,,true,
u_kogado,THE 虎牙道,こがどう,sm,sm_takeru;sm_michiru;sm_ren,#4D4D4D,permanent,,true,
u_flags,F-LAGS,ふらっぐす,sm,sm_ryo;sm_daigo;sm_kazuki,#0000FF,permanent,,true,
u_legenders,Legenders,れじぇんだーず,sm,sm_amehiko;sm_sora;sm_chris,#6880A0,permanent,,true,
u_cfirst,C.FIRST,しーふぁーすと,sm,sm_shu;sm_eishin;sm_momondo,#00CCBB,permanent,,true,
u_315stars,315 STARS,さんいちごすたーず,sm,,,brand,SideM全体;315プロ,false,メンバーは公演ごとに異なるため未設定
u_hagoromo,羽衣小町,はごろもこまち,cg,,#403A60,permanent,,false,
u_sexyguilty,セクシーギルティ,せくしーぎるてぃ,cg,,#E24585,permanent,,false,
u_positivepassion,ポジティブパッション,ぽじてぃぶぱっしょん,cg,,#FF8200,permanent,,false,
u_triadprimus,Triad Primus,とらいあどぷりむす,cg,,#3337B2,permanent,,false,
u_onesteps,ワンステップス,わんすてっぷす,cg,,#F4B7CD,permanent,,false,
u_unicus,#UNICUS,ゆにかす,cg,,#89ABE3,permanent,,false,
u_deaaurora,デア・アウローラ,であ・あうろーら,cg,,#0057B8,permanent,,false,
u_solairis,Sola-iris,そらいりす,cg,,#2BCCD3,permanent,,false,
u_masquerade,Masque:Rade,ますかれーど,cg,,,permanent,,false,
u_siriuschord,Sirius Chord,しりうすこーど,cg,,,permanent,,false,
u_amimanera,アミマネラ,あみまねら,cg,,,permanent,,false,
u_ophiuchus,オフィウクス,おふぃうくす,ml,,,permanent,,false,
u_dzeal,D/Zeal,でぃーじーる,ml,ml_shizuka;ml_julia,,permanent,,true,
u_sprout,SprouT,すぷらうと,765as,765as_yukiho;765as_haruka;765as_hibiki,,permanent,,true,
u_ryuguukomachi,竜宮小町,りゅうぐうこまち,765as,765as_ami;765as_iori;765as_ritsuko;765as_azusa,,permanent,,true,
u_arcana,ARCANA,あるかな,ml,765as_takane;765as_azusa;765as_chihaya,,permanent,,true,
u_albanocte,アルバノクト,あるばのくと,961,other_shirahaku;961_aya,,permanent,,true,
