song_id,title,title_kana,brand_id,unit_id,original_members,song_type,tags,release_date,source,verified,notes
s_gk_0envr01,ヨルニテ,,gk,,gk_misuzu,solo,,2025-02-11,初陣公演 梅田夜,false,(ソロ)秦谷美鈴
s_gk_1fdz46m,雪解けに,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2025-02-28,学園アイドルマスター実装,false,(シーズン曲)初星学園
s_marbleheart,marble heart,,gk,,gk_rinami,solo,,2025-03-05,YouTubeでビデオ公開,false,(ソロ)姫崎莉波
s_gk_05la78b,極光,,gk,,gk_lilja,solo,,2025-03-21,学園アイドルマスター実装,false,(ソロ)葛城リーリヤ
s_gk_183jiw9,つよつよ最強エクササイズ,,gk,,gk_ume,solo,,2025-04-01,YouTubeでビデオ公開,false,(ソロ)花海佑芽
s_gk_1n3g31r,桜フォトグラフ,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2025-04-01,学園アイドルマスター実装,false,(シーズン曲)初星学園
s_tryitnow,Try it now,,gk,,gk_saki,solo,,2025-04-02,YouTubeでビデオ公開,false,(ソロ)花海咲季
s_thecute,The Cute!!!,,gk,,gk_kotone,solo,,2025-04-29,YouTubeでビデオ公開,false,(ソロ)藤田ことね
s_gk_0s6u066,雨上がりのアイリス,,gk,,gk_temari;gk_saki;gk_kotone,unit,,2025-05-01,学園アイドルマスター実装,false,(UNIT)Re;IRIS
s_superlative,Superlative,,gk,,gk_misuzu,solo,,2025-05-24,1stSS DAY1,false,(ソロ)秦谷美鈴
s_starmine,Star-mine,,gk,,gk_misuzu;gk_sena;gk_ume,unit,,2025-05-24,1stSS DAY1,false,(UNIT)Begrazia
s_gk_0wv5cck,グースーピー,,gk,,gk_ume,solo,,2025-05-25,1stSS DAY2,false,(ソロ)花海佑芽
s_gk_1u2rfme,みちなるひろがる,,gk,,gk_china;gk_hiro,unit,,2025-05-31,1stHS DAY1,false,(UNIT)ゆめぱしー
s_sugarflavor,SUGAR FLAVOR,,gk,,gk_mao;gk_rinami,unit,,2025-05-31,1stHS DAY1,false,(UNIT)RippleSign
s_gk_13ygiml,ときめきエモーション,,gk,,gk_sumika;gk_lilja,unit,,2025-06-01,1stHS DAY2,false,(UNIT)REVERSI
s_lovejoy,Love & Joy,,gk,,gk_sumika,solo,,2025-06-19,学園アイドルマスター実装,false,(ソロ)紫雲清夏
s_gk_0y71s21,金の斧、銀の斧、エメラルドの斧,,gk,,gk_ume,solo,,2025-07-04,初陣追加公演 昼,false,(ソロ)花海佑芽
s_gk_1v27j0o,サンフェーデッド,,gk,,gk_hiro,solo,,2025-07-17,学園アイドルマスター実装,false,(ソロ)篠澤広
s_gk_15g8qio,自己肯定感爆上げ↑↑しゅきしゅきソング,,gk,,gk_kotone,solo,,2025-08-12,学園アイドルマスター実装,false,(ソロ)藤田ことね
s_gk_1v0mlft,初星体操第一,,gk,,,unit,,2025-08-27,動画公開,false,-
s_supremacy,SUPREMACY,,gk,,gk_saki;gk_sumika;gk_lilja;gk_kotone;gk_temari,unit,event,2025-08-28,Lyric Video公開,false,(クラス曲)1年1組
s_letsgoichinoni,Let's GO!! ICHI-NO-NI!!,,gk,,gk_china;gk_ume;gk_misuzu;gk_hiro,unit,event,2025-09-04,Lyric Video公開,false,(クラス曲)1年2組
s_gk_15pwu2k,ナイワ,,gk,,gk_mao;gk_rinami;gk_sena;gk_tsubame,unit,event,2025-09-10,Lyric Video公開,false,(クラス曲)3年1組
s_36ubu,36℃ U･B･U,,gk,,gk_rinami,solo,,2025-09-17,学園アイドルマスター実装,false,(ソロ)姫崎莉波
s_gk_0nbjs2t,理論武装して,,gk,,gk_tsubame,solo,,2025-09-22,初星大運動会DAY2,false,(ソロ)雨夜燕
s_gk_0yhkvy5,カタマリオンザドゥン,,gk,,gk_saki,unit,,2025-10-03,MV公開,false,(素敵ソング)花海咲季
s_gk_0xbmnp6,空と約束,,gk,,gk_china,solo,,2025-10-21,学園アイドルマスター実装,false,(ソロ)倉本千奈
s_gk_1vub6pw,見て,,gk,,gk_mao,solo,,2025-10-31,学園アイドルマスター実装,false,(ソロ)有村麻央
s_atmosphere,Atmosphere,,gk,,gk_lilja,solo,,2025-12-08,学園アイドルマスター実装,false,(ソロ)葛城リーリヤ
s_gk_12et5ic,一体いつから,,gk,,gk_temari,solo,,2026-01-16,学園アイドルマスター実装,false,(ソロ)月村手毬
s_searchright,SEARCH RIGHT,,gk,,gk_sena;gk_tsubame;gk_misuzu,unit,collab,2026-02-08,配信,false,(コラボ)初星学園生徒会
s_gk_08dqr3w,赤裸々,,gk,,gk_sena,solo,,2026-02-09,学園アイドルマスター実装,false,(ソロ)十王星南
s_gk_09b5yey,わかし・さわがし・スカパンク,,gk,,gk_ume;gk_misuzu;gk_sena,unit,event,2026-02-19,配信,false,"(音楽祭)花海佑芽,秦谷美鈴,十王星南"
s_wildestflower,Wildest Flower,,gk,,gk_saki,solo,,2026-03-19,学園アイドルマスター実装,false,(ソロ)花海咲季
s_gk_1youj9a,真っ白いページと水彩の主人公,,gk,,gk_ume,solo,,2026-04-10,学園アイドルマスター実装,false,(ソロ)花海佑芽
s_veil,VEIL,,gk,,gk_misuzu,solo,,2026-04-29,学園アイドルマスター実装,false,(ソロ)秦谷美鈴
s_gk_1y5ds0c,ガラクタロード,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,all,anime,2026-05-08,H.I.F編OP先行公開,false,(全体曲)初星学園
s_gk_127l139,三分半の創世,,gk,,gk_tsubame,solo,,2026-05-17,H.I.F選抜試験DAY2,false,(ソロ)雨夜燕
s_mystage,MY STAGE,,gk,,gk_tsubame,solo,,2026-05-20,リリックビデオ公開,false,(ソロ)雨夜燕
s_gk_0hsym8l,クライアイ,,gk,,gk_tsubame,solo,,2026-07-31,学園アイドルマスター実装,false,(ソロ)雨夜燕
s_gk_0yhk89z,「ねえ、言っちゃうよ。」,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2026-08-17,学園アイドルマスター実装,false,(グラビア曲)初星学園
s_gk_1ykkvsd,修楽旅行,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2026-08-20,配信,false,(標ツアー曲)初星学園
s_lespoir,L’Espoir,,gk,,gk_mao,solo,,2026-08-20,標 福井公演 DAY1,false,(ソロ)有村麻央
s_gk_1i0rnlv,春と光,,gk,,gk_ume,solo,,2026-08-20,標 福井公演 DAY1,false,(ソロ)花海佑芽
s_gk_0zkgkdr,いつかのわたし,,gk,,gk_lilja,solo,,2026-08-21,標 福井公演 DAY2,false,(ソロ)葛城リーリヤ
s_gk_0du6ga8,重なる夜空の痕跡に,,gk,,gk_rinami,solo,,2026-08-21,標 福井公演 DAY2,false,(ソロ)姫崎莉波
s_gk_1jz1h0q,とめどなく,,gk,,gk_mao,solo,,2026-10-07,ゴルラ7巻特装版,false,(ソロ)有村麻央
s_beproud,Be proud,,gk,,gk_tsubame,solo,,,未発表,false,(ソロ)雨夜燕
s_961_0sw6nh9,オーバーマスター,,961,,765as_miki;765as_takane;765as_hibiki,unit,,2008-07-27,765AS3rd横浜,false,(UNIT)プロジェクト・フェアリー
s_kiss,KisS,,961,,765as_miki;765as_takane;765as_hibiki,unit,,2008-12-10,MS961,false,(UNIT)プロジェクト・フェアリー
s_961_0h911el,黒い犬,,961,,765as_miki;765as_takane;765as_hibiki,unit,,2009-01-23,Eternal Prism02,false,(UNIT)プロジェクト・フェアリー
s_aliceorguilty,Alice or Guilty,,961,,sm_touma;sm_hokuto;sm_shota,unit,,2011-02-24,アイマス2(Xbox360),false,(UNIT)Jupiter
s_961_1jjc254,恋をはじめよう,,961,,sm_touma;sm_hokuto;sm_shota,unit,,2011-02-24,アイマス2(Xbox360),false,(UNIT)Jupiter
s_bangbang,BANG×BANG,,961,,sm_touma,solo,,2011-11-23,Jupiter,false,(ソロ)天ヶ瀬冬馬
s_onsunday,On Sunday,,961,,sm_shota,solo,,2011-11-23,Jupiter,false,(ソロ)御手洗翔太
s_crystaldust,結晶〜Crystal Dust〜,,961,,sm_hokuto,solo,,2011-11-23,Jupiter,false,(ソロ)伊集院北斗
s_961_16hbu57,アクセルレーション,,961,,961_leon,solo,,2014-05-15,OFA,false,(ソロ)玲音
s_961_0xiwoyx,アルティメットアイズ,,961,,961_leon,solo,,2014-12-25,OFA DLC,false,(ソロ)玲音
s_961_10qkeby,インセインゲーム,,961,,765as_miki;765as_takane;765as_hibiki,unit,,2016-09-21,PLATINUM MASTER 02,false,(UNIT)プロジェクト・フェアリー
s_bloomingstar,Blooming Star,,961,,961_shika,solo,,2017-12-21,ステラステージ,false,(ソロ)詩花
s_961_0ndtx9q,アライアンス・スターダスト,,961,,,unit,,2020-01-19,ミリシタ感謝祭,false,(UNIT)ZWEIGLANZ
s_shinemyway,Shine My Way,,961,,,unit,,2020-12-02,CD「ZWEIGLANZ」,false,(UNIT)ZWEIGLANZ
s_1stcall,1st Call,,961,,,unit,,2021-10-14,スターリットシーズン実装,false,(UNIT)ディアマント
s_flame,FlaME,,961,,765as_miki;765as_takane;765as_hibiki,unit,,2024-08-24,『Re:FLAME』,false,(UNIT)プロジェクト・フェアリー
s_realize,REALIZE！！！,,961,,765as_miki;765as_takane;765as_hibiki,unit,,2025-02-01,『Re:FLAME』追加公演,false,(UNIT)プロジェクト・フェアリー
s_961_12ebxg0,エクストリーム・オーバードライブ,,961,,961_leon,solo,,2026-07-26,IWSF2026会場CD,false,(ソロ)玲音
s_idolpowerrainbow,IDOL POWER RAINBOW,,crossover,,,all,,2014-02-05,配信開始,false,(MOIW2014テーマソング)
s_mustgo,アイ MUST GO！,,crossover,,,all,,2015-06-19,配信開始,false,(MOIW2015テーマソング)
s_crossover_14klxz3,なんどでも笑おう,,crossover,,,unit,,2019-12-26,ゆくM@SくるM@S,false,(アイマス15周年記念曲)
s_voyger,VOY@GER,,crossover,,,all,,2021-08-04,CD&配信開始,false,(イメージソング2021)
s_crystloud,CRYST@LOUD,,crossover,,,all,,2022-12-27,ゆくM@SくるM@S,false,(MOIW2023テーマソング)
s_needyouforwonderfulstory,アイ NEED YOU（FOR WONDERFUL STORY）,,crossover,,,unit,,2024-07-26,19th→20thSP生配信,false,(アイマス20周年記念曲)
s_crossover_0t9d5xi,→→→SP,,crossover,,,unit,,2026-07-28,MV公開,false,(TOURSオリジナル曲)
s_grtitude,GR@TITUDE,,crossover,,,unit,,2021-10-14,スターリットシーズン実装,false,Project LUMINOUS(冬)
s_session,SESSION!,,crossover,,,unit,,2021-08-05,体験版で実装,false,Project LUMINOUS(春)
s_crossover_02lesfr,ダンス・ダンス・ダンス,,crossover,,,unit,,2021-12-09,スタマスDLC vol.3,false,(スターリットシーズンDLC曲)
s_everrising,EVER RISING,,crossover,,other_shirahaku;961_aya,unit,,2021-10-14,スターリットシーズン実装,false,"(-)奥空心白,亜夜"
s_kawaii,KAWAII ウォーズ,,crossover,,,unit,,2022-01-13,スタマスDLC vol.4,false,(スターリットシーズンDLC曲)
s_bang,夏のBang!!,,crossover,,,unit,,2021-10-14,スターリットシーズン実装,false,Project LUMINOUS(夏)
s_thankyou,Thank You!,,ml,,,all,,2013-04-24,LTP01,false,(全体曲)
s_ml_0q8j8c7,キラメキ進行形,,ml,,765as_haruka,solo,,2013-05-29,LTP02,false,(ソロ)天海春香
s_ml_0r7y3ix,透明なプロローグ,,ml,,ml_yuriko,solo,,2013-05-29,LTP02,false,(ソロ)七尾百合子
s_ml_1cisyyv,トキメキの音符になって,,ml,,ml_serika,solo,,2013-05-29,LTP02,false,(ソロ)箱崎星梨花
s_mariatrap,Maria Trap,,ml,,ml_tomoka,solo,,2013-05-29,LTP02,false,(ソロ)天空橋朋花
s_preciousgrain,Precious Grain,,ml,,ml_shizuka,solo,,2013-05-29,LTP02,false,(ソロ)最上静香
s_legendgirls,Legend Girls!!,,ml,,765as_haruka;ml_tomoka;ml_yuriko;ml_serika;ml_shizuka,unit,,2013-05-29,LTP02,false,"(LTP02)春香,朋花,百合子,星梨花,静香"
s_ml_00ihggv,素敵なキセキ,,ml,,ml_mirai,solo,,2013-06-26,LTP03,false,(ソロ)春日未来
s_ml_0wrn2y0,ハッピー☆ラッキー☆ジェットマシーン,,ml,,ml_nao,solo,,2013-06-26,LTP03,false,(ソロ)横山奈緒
s_happydarling,Happy Darling,,ml,,ml_anna,solo,,2013-06-26,LTP03,false,(ソロ)望月杏奈
s_ml_1fz3ml7,オレンジの空の下,,ml,,ml_fuka,solo,,2013-06-26,LTP03,false,(ソロ)豊川風花
s_rebellion,Rebellion,,ml,,765as_hibiki,solo,,2013-06-26,LTP03,false,(ソロ)我那覇響
s_prettydreamer,PRETTY DREAMER,,ml,,765as_hibiki;ml_mirai;ml_fuka;ml_anna;cg_nao,unit,,2013-06-26,LTP03,false,"(LTP03)響,未来,風花,杏奈,奈緒"
s_ml_1vlp592,アフタースクールパーリータイム,,ml,,ml_megumi,solo,,2013-07-31,LTP04,false,(ソロ)所恵美
s_ml_10uvgmn,朝焼けのクレッシェンド,,ml,,ml_kotoha,solo,,2013-07-31,LTP04,false,(ソロ)田中琴葉
s_ml_0cfbo5j,ライアー・ルージュ,,ml,,ml_shiho,solo,,2013-07-31,LTP04,false,(ソロ)北沢志保
s_snowwhite,Snow White,,ml,,765as_chihaya,solo,,2013-07-31,LTP04,false,(ソロ)如月千早
s_bluesymphony,Blue Symphony,,ml,,765as_chihaya;ml_shiho;ml_kotoha;ml_megumi,unit,,2013-07-31,LTP04,false,"(LTP04)千早,志保,琴葉,恵美"
s_ml_0i0m4m4,微笑み日和,,ml,,ml_emily,solo,,2013-08-28,LTP05,false,(ソロ)エミリー スチュアート
s_pokerpoker,POKER POKER,,ml,,ml_mizuki,solo,,2013-08-28,LTP05,false,(ソロ)真壁瑞希
s_bemyboy,Be My Boy,,ml,,ml_rio,solo,,2013-08-28,LTP05,false,(ソロ)百瀬莉緒
s_playbackweekday,"プライヴェイト・ロードショウ (playback, Weekday)",,ml,,765as_iori,solo,,2013-08-28,LTP05,false,(ソロ)水瀬伊織
s_sentimentalvenus,Sentimental Venus,,ml,,765as_iori;ml_emily;ml_mizuki;ml_rio,unit,,2013-08-28,LTP05,false,"(LTP05)伊織,エミリー,瑞希,莉緒"
s_lesson,恋のLesson初級編,,ml,,ml_tsubasa,solo,,2013-09-25,LTP06,false,(ソロ)伊吹翼
s_findyourwind,FIND YOUR WIND!,,ml,,ml_reika,solo,,2013-09-25,LTP06,false,(ソロ)北上麗花
s_ml_07h0dxn,追憶のサンドグラス,,ml,,765as_miki,solo,,2013-09-25,LTP06,false,(ソロ)星井美希
s_ml_0trdalz,流星群,,ml,,ml_julia,solo,,2013-09-25,LTP06,false,(ソロ)ジュリア
s_marionette,Marionetteは眠らない,,ml,,765as_miki;ml_tsubasa;ml_reika;ml_julia,unit,,2013-09-25,LTP06,false,"(LTP06)美希,翼,麗花,ジュリア"
s_ml_1c16035,マイペース☆マイウェイ,,ml,,ml_noriko,solo,,2013-10-30,LTP07,false,(ソロ)福田のり子
s_birthday,君想いBirthday,,ml,,ml_sayoko,solo,,2013-10-30,LTP07,false,(ソロ)高山紗代子
s_ml_0oxa024,ちいさな恋の足音,,ml,,ml_karen,solo,,2013-10-30,LTP07,false,(ソロ)篠宮可憐
s_fraction,嘆きのFRACTION,,ml,,765as_azusa,solo,,2013-10-30,LTP07,false,(ソロ)三浦あずさ
s_ml_0uusn44,カワラナイモノ,,ml,,765as_azusa;ml_karen;ml_sayoko;ml_noriko,unit,,2013-10-30,LTP07,false,"(LTP07)あずさ,可憐,紗代子,のり子"
s_ml_0sa8a6o,ホップ♪ステップ♪レインボウ♪,,ml,,ml_tamaki,solo,,2013-11-27,LTP08,false,(ソロ)大神環
s_ml_0fuqdhy,グッデイ・サンシャイン!,,ml,,ml_iku,solo,,2013-11-27,LTP08,false,(ソロ)中谷育
s_ml_094yc90,オリジナル声になって,,ml,,ml_kana,solo,,2013-11-27,LTP08,false,(ソロ)矢吹可奈
s_ml_10yanbl,ハートウォーミング,,ml,,765as_yayoi,solo,,2013-11-27,LTP08,false,(ソロ)高槻やよい
s_goodsleepbaby,"Good-Sleep, Baby♡",,ml,,765as_yayoi;ml_tamaki;ml_iku;ml_kana,unit,,2013-11-27,LTP08,false,"(LTP08)やよい,環,育,可奈"
s_hello,Helloコンチェルト,,ml,,765as_ritsuko;ml_hinata;ml_minako;ml_arisa,unit,,2013-12-25,LTP09,false,"(LTP09)律子,ひなた,美奈子,亜利沙"
s_ml_1pjy6ex,スマイルいちばん,,ml,,ml_minako,solo,,2013-12-25,LTP09,false,(ソロ)佐竹美奈子
s_ml_0aw8fp2,あのね、聞いてほしいことがあるんだ,,ml,,ml_hinata,solo,,2013-12-25,LTP09,false,(ソロ)木下ひなた
s_showchng,チョー↑元気Show☆アイドルch@ng!,,ml,,ml_arisa,solo,,2013-12-25,LTP09,false,(ソロ)松田亜利沙
s_greedygirl,GREEDY GIRL,,ml,,765as_ritsuko,solo,,2013-12-25,LTP09,false,(ソロ)秋月律子
s_ml_0xmhmxw,フェスタ・イルミネーション,,ml,,ml_matsuri,solo,,2014-01-29,LTP10,false,(ソロ)徳川まつり
s_ml_178j4tx,ココロ☆エクササイズ,,ml,,ml_umi,solo,,2014-01-29,LTP10,false,(ソロ)高坂海美
s_ml_02pvemv,ハッピ〜 エフェクト！,,ml,,ml_miya,solo,,2014-01-29,LTP10,false,(ソロ)宮尾美也
s_ml_11ck2ch,恋花,,ml,,765as_takane,solo,,2014-01-29,LTP10,false,(ソロ)四条貴音
s_ml_1gydch7,瞳の中のシリウス,,ml,,765as_takane;ml_umi;ml_matsuri;ml_miya,unit,,2014-01-29,LTP10,false,"(LTP10)貴音,海美,まつり,美也"
s_carnaval,想いはCarnaval,,ml,,ml_elena,solo,,2014-02-26,LTP11,false,(ソロ)島原エレナ
s_getmyshinin,Get My Shinin’,,ml,,ml_ayumu,solo,,2014-02-26,LTP11,false,(ソロ)舞浜歩
